metric,F_median,M_median,MW_U,MW_p,cliffs_delta,rank_biserial_r,boot_ci_median_lo,boot_ci_median_hi
density,0.2227,0.1648,45.0,0.4234471410941999,0.25,-0.25,-0.058849999999999986,0.1325
reciprocity,0.7686999999999999,0.8,36.0,1.0,0.0,0.0,-0.16790000000000005,0.19790000000000008
avg_path_len,2.1008,2.0758,33.0,0.8148087206910737,-0.08333333333333333,0.08333333333333337,-0.43130000000000024,0.17989999999999995
leading_eigenvalue,109.18090000000001,109.4078,33.0,0.8148087206910737,-0.08333333333333333,0.08333333333333337,-60.524899999999995,47.709900000000005
mean_clustering,0.33199999999999996,0.3532,35.0,0.9625668449197862,-0.027777777777777776,0.02777777777777779,-0.0923,0.1172687499999997
n_nodes,11.5,14.0,18.0,0.09271904566022213,-0.5,0.5,-10.5,-0.5
n_edges,25.0,41.0,17.5,0.09271904566022213,-0.5138888888888888,0.5138888888888888,-24.01249999999999,0.0
