film_title,protagonist,lead_gender,addr_samesex,addr_samesex_z,cooc_samesex,cooc_samesex_z,abs_diff_z,diff_z
Raya (2021),Raya,F,0.7309644670050761,0.9206374286532354,0.5256410256410257,0.15504725263999744,0.765590176013238,0.765590176013238
Encanto (2021),Mirabel,F,0.6485507246376812,0.09639355324605366,0.7468354430379747,0.7607543025386038,0.6643607492925501,-0.6643607492925501
Elemental (2023),Ember,F,0.13025210084033614,-0.8921040199003377,0.2815533980582524,-1.428864145065488,0.5367601251651503,0.5367601251651503
Finding Nemo (2003),Marlin,M,0.45215311004784686,-1.1521709061297278,0.6666666666666666,-0.6195210478071864,0.5326498583225414,-0.5326498583225414
Beauty & the Beast (1991),Belle,F,0.16593886462882096,-0.06096071805436367,0.15384615384615385,-0.5363521438980058,0.47539142584364213,0.47539142584364213
Monsters Inc (2001),Sulley,M,0.7811634349030471,0.08006301010415666,0.7083333333333334,-0.3935053631163058,0.47356837322046247,0.47356837322046247
Cars 2 (2011),Mater,M,0.7774566473988439,-0.8825445037218542,0.7924528301886793,-0.47767521544513486,0.40486928827671936,-0.40486928827671936
Incredibles 2 (2018),Bob,M,0.38095238095238093,-0.9508095483638132,0.5238095238095238,-1.3014823039971462,0.350672755633333,0.350672755633333
Coco (2017),Miguel,M,0.6258503401360545,0.07668864426958157,0.5714285714285714,0.41364742590130754,0.336958781631726,-0.336958781631726
Zootopia (2016),Hopps,F,0.12280701754385964,-0.755977552368298,0.18181818181818182,-0.47619006850232826,0.27978748386596974,-0.27978748386596974
Frozen (2013),Anna,F,0.2620817843866171,0.3515767973017874,0.19230769230769232,0.5719550699924832,0.22037827269069582,-0.22037827269069582
Onward (2020),Ian,M,0.8693379790940766,1.2756871696216332,0.7638888888888888,1.4760188050606993,0.20033163543906607,-0.20033163543906607
Up (2009),Carl,M,0.925207756232687,0.1992158798878655,1.0,0.0,0.1992158798878655,0.1992158798878655
Toy Story 3 (2010),Woody,M,0.7098765432098766,0.6636039184203704,0.6569767441860465,0.7614855248356761,0.09788160641530574,-0.09788160641530574
Mulan (1998),Mulan,F,0.044585987261146494,-0.7873280074626557,0.12121212121212122,-0.8736390567802207,0.08631104931756495,0.08631104931756495
Inside Out (2015),Joy,F,0.6327868852459017,0.4640757061342994,0.5280898876404494,0.5256904197779256,0.06161471364362625,-0.06161471364362625
Toy Story (1995),Woody,M,0.9509803921568627,0.7780202102564887,0.8288288288288288,0.821562623902699,0.043542413646210254,-0.043542413646210254
